ID,Headline,Source,Category,Time,URL
1,Borussia Dortmund - Real Madrid (Canlı anlatım),NTV Spor,Spor,2024-06-01T19:25:57Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2Z1dGJvbC9ib3J1c3NpYS1kb3J0bXVuZC1yZWFsLW1hZHJpZC1jYW5saS1hbmxhdGltLTY2NWI2NDgxZjU1NmJlMDA0ZjUxN2IzN9IBZ2h0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2FtcC9mdXRib2wvYm9ydXNzaWEtZG9ydG11bmQtcmVhbC1tYWRyaWQtY2FubGktYW5sYXRpbS02NjViNjQ4MWY1NTZiZTAwNGY1MTdiMzc?hl=tr&gl=TR&ceid=TR%3Atr
2,"Şampiyonlar Ligi Finali 2024 | Dortmund - Real Madrid maçı hangi kanalda,şifresiz mi? Dortmund - Real Madrid maçı bu akşam ne zaman,saat kaçta? (İlk 11'ler)",NTV Spor,Spor,2024-06-01T17:50:00Z,news.google.com/articles/CBMizwFodHRwczovL3d3dy5udHZzcG9yLm5ldC9mb3RvLWdhbGVyaS9zYW1waXlvbmxhci1saWdpLWZpbmFsaS0yMDI0LWRvcnRtdW5kLXJlYWwtbWFkcmlkLW1hY2ktaGFuZ2kta2FuYWxkYS1zaWZyZXNpei1taS1kb3J0bXVuZC1yZWFsLW1hZHJpZC1tYWNpLWJ1LWFrc2FtLW5lLXphbWFuLXNhYXQta2FjdGEtaWxrLTExLWxlci02NjU5OWIwYWY1NTZiZTAwNGY1MTY3MGPSAdMBaHR0cHM6Ly93d3cubnR2c3Bvci5uZXQvYW1wL2ZvdG8tZ2FsZXJpL3NhbXBpeW9ubGFyLWxpZ2ktZmluYWxpLTIwMjQtZG9ydG11bmQtcmVhbC1tYWRyaWQtbWFjaS1oYW5naS1rYW5hbGRhLXNpZnJlc2l6LW1pLWRvcnRtdW5kLXJlYWwtbWFkcmlkLW1hY2ktYnUtYWtzYW0tbmUtemFtYW4tc2FhdC1rYWN0YS1pbGstMTEtbGVyLTY2NTk5YjBhZjU1NmJlMDA0ZjUxNjcwYw?hl=tr&gl=TR&ceid=TR%3Atr
3,Şampiyonlar Ligi'nde heyecan dorukta,Odatv,Spor,2024-06-01T19:36:41Z,news.google.com/articles/CBMiSGh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9zcG9yL3NhbXBpeW9ubGFyLWxpZ2luZGUtaGV5ZWNhbi1kb3J1a3RhLTEyMDA0NjcxMtIBTGh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvc3Bvci9zYW1waXlvbmxhci1saWdpbmRlLWhleWVjYW4tZG9ydWt0YS0xMjAwNDY3MTI?hl=tr&gl=TR&ceid=TR%3Atr
4,Borussia Dortmund - Real Madrid | Canlı izle DORTMUND REAL MADRID CANLI İZLE,Fotomaç,Spor,2024-06-01T18:50:55Z,news.google.com/articles/CBMifmh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL3NhbXBpeW9ubGFybGlnaS8yMDI0LzA2LzAxL2JvcnVzc2lhLWRvcnRtdW5kLXJlYWwtbWFkcmlkLWNhbmxpLWl6bGUtZG9ydG11bmQtcmVhbC1tYWRyaWQtY2FubGktaXpsZdIBggFodHRwczovL3d3dy5mb3RvbWFjLmNvbS50ci9zYW1waXlvbmxhcmxpZ2kvMjAyNC8wNi8wMS9ib3J1c3NpYS1kb3J0bXVuZC1yZWFsLW1hZHJpZC1jYW5saS1pemxlLWRvcnRtdW5kLXJlYWwtbWFkcmlkLWNhbmxpLWl6bGUvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
5,Jose Mourinho'dan Fenerbahçe açıklaması: Gitmek istiyorum ama…,Fotomaç,Spor,2024-06-01T16:39:12Z,news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2ZlbmVyYmFoY2UvMjAyNC8wNi8wMS9qb3NlLW1vdXJpbmhvZGFuLWZlbmVyYmFoY2UtYWNpa2xhbWFzaS1naXRtZWstaXN0aXlvcnVtLWFtYdIBcGh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2ZlbmVyYmFoY2UvMjAyNC8wNi8wMS9qb3NlLW1vdXJpbmhvZGFuLWZlbmVyYmFoY2UtYWNpa2xhbWFzaS1naXRtZWstaXN0aXlvcnVtLWFtYS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
6,SON DAKİKA | Fenerbahçe'den taraftarlarını heyecanlandıran paylaşım,NTV Spor,Spor,2024-06-01T19:44:34Z,news.google.com/articles/CBMieWh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2Z1dGJvbC9zb24tZGFraWthLWZlbmVyYmFoY2UtZGVuLXRhcmFmdGFybGFyaW5pLWhleWVjYW5sYW5kaXJhbi1wYXlsYXNpbS02NjViN2EyMmY1NTZiZTAwNGY1MTdmMGXSAX1odHRwczovL3d3dy5udHZzcG9yLm5ldC9hbXAvZnV0Ym9sL3Nvbi1kYWtpa2EtZmVuZXJiYWhjZS1kZW4tdGFyYWZ0YXJsYXJpbmktaGV5ZWNhbmxhbmRpcmFuLXBheWxhc2ltLTY2NWI3YTIyZjU1NmJlMDA0ZjUxN2YwZQ?hl=tr&gl=TR&ceid=TR%3Atr
7,Fenerbahçe'den taraftarlarını heyecanlandıran paylaşım: Yarın akşama plan yapmayın,Hürriyet,Spor,2024-06-01T19:48:35Z,news.google.com/articles/CBMif2h0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9zcG9yYXJlbmEvZmVuZXJiYWhjZWRlbi10YXJhZnRhcmxhcmluaS1oZXllY2FubGFuZGlyYW4tcGF5bGFzaW0teWFyaW4tYWtzYW1hLXBsYW4teWFwbWF5aW4tNDI0NzEyNTjSAQA?hl=tr&gl=TR&ceid=TR%3Atr
8,Jose Mourinho dan Fenerbahçe sözleri,beinsports.com.tr,Spor,2024-06-01T18:10:57Z,news.google.com/articles/CBMiQ2h0dHBzOi8vYmVpbnNwb3J0cy5jb20udHIvaGFiZXIvam9zZS1tb3VyaW5ob2Rhbi1mZW5lcmJhaGNlLXNvemxlcmnSAQA?hl=tr&gl=TR&ceid=TR%3Atr
9,CANLI: Fenerbahçe Beko - Beşiktaş Emlakjet,Sporx,Spor,2024-06-01T17:23:00Z,news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LnNwb3J4LmNvbS9jYW5saS1mZW5lcmJhaGNlLWJla28tYmVzaWt0YXMtZW1sYWtqZXQtU1hIQlExMDcyMTA3U1hR0gFRaHR0cHM6Ly93d3cuc3BvcnguY29tL2FtcC9jYW5saS1mZW5lcmJhaGNlLWJla28tYmVzaWt0YXMtZW1sYWtqZXQtU1hIQlExMDcyMTA3U1hR?hl=tr&gl=TR&ceid=TR%3Atr
10,"Nigel Hayes-Davis Parladı; Fenerbahçe Beko, Beşiktaş Emlakjet'e Karşı Rahat Kazandı",Eurohoops Turk,Spor,2024-06-01T19:20:00Z,news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmV1cm9ob29wcy5uZXQvdHIvdGJsLXRyLzE2ODAwMDYvbmlnZWwtaGF5ZXMtZGF2aXMtcGFybGFkaS1mZW5lcmJhaGNlLWJla28tYmVzaWt0YXMtZW1sYWtqZXRlLWthcnNpLXJhaGF0LWthemFuZGkv0gEA?hl=tr&gl=TR&ceid=TR%3Atr
