11,İliç faciasında yeni gelişme: 1 kişi daha tutuklandı,BirGün,2024-05-28T09:01:00Z,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaWxpYy1mYWNpYXNpbmRhLXllbmktZ2VsaXNtZS0xLWtpc2ktZGFoYS10dXR1a2xhbmRpLTUzMzI1ONIBAA?hl=tr&gl=TR&ceid=TR%3Atr
12,"Olcay Kılavuz'un Bahçeli'nin danışmanlığı görevine son verildi",BirGün,2024-05-28T15:58:00Z,news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvb2xjYXkta2lsYXZ1enVuLWJhaGNlbGluaW4tZGFuaXNtYW5saWdpLWdvcmV2aW5lLXNvbi12ZXJpbGRpLTUzMzQyONIBAA?hl=tr&gl=TR&ceid=TR%3Atr
13,Olcay Kılavuz, Bahçeli'nin danışmanlık görevinden alındı,Sözcü,2024-05-28T16:00:00Z,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9vbGNheS1raWxhdnV6LWJhaGNlbGktbmluLWRhbmlzbWFubGlrLWdvcmV2aW5kZW4tYWxpbmRpLXA1MDYyMtIBW2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbXAvb2xjYXkta2lsYXZ1ei1iYWhjZWxpLW5pbi1kYW5pc21hbmxpay1nb3JldmluZGVuLWFsaW5kaS1wNTA2MjI?hl=tr&gl=TR&ceid=TR%3Atr
14,MHP Olcay Kılavuz'u görevden aldı,Gazete Duvar,2024-05-28T16:27:17Z,news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9taHAtb2xjYXkta2lsYXZ1enUtZ29yZXZkZW4tYWxkaS1oYWJlci0xNjk0Njg40gFRaHR0cHM6Ly93d3cuZ2F6ZXRlZHV2YXIuY29tLnRyL2FtcC9taHAtb2xjYXkta2lsYXZ1enUtZ29yZXZkZW4tYWxkaS1oYWJlci0xNjk0Njg4?hl=tr&gl=TR&ceid=TR%3Atr
15,Elif Çakır: Sinan Ateş aylarca yardım istemiş,Diken,2024-05-28T04:49:54Z,news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmRpa2VuLmNvbS50ci9lbGlmLWNha2lyLXNpbmFuLWF0ZXMtYXlsYXJjYS15YXJkaW0taXN0ZW1pcy_SAQA?hl=tr&gl=TR&ceid=TR%3Atr
16,Veli, öğrencilerin olduğu sınıfı bastı, öğretmenin üzerine yürüdü,T24,2024-05-28T10:10:00Z,news.google.com/articles/CBMiYGh0dHBzOi8vdDI0LmNvbS50ci9oYWJlci92ZWxpLW9ncmVuY2lsZXJpbi1vbGR1Z3Utc2luaWZpLWJhc3RpLW9ncmV0bWVuaW4tdXplcmluZS15dXJ1ZHUsMTE2NjkyMtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
17,Okulda korku dolu anlar: Veli sınıfı bastı, öğretmenler zor sakinleştirdi,NTV,2024-05-28T09:52:00Z,news.google.com/articles/CBMihAFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllL29rdWxkYS1rb3JrdS1kb2x1LWFubGFyLXZlbGktc2luaWZpLWJhc3RpLW9ncmV0bWVubGVyLXpvci1zYWtpbmxlc3RpcmRpLFF4a2VKSGNlMmtXQ3VmM0FFU2JPUUHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
18,Bakan Tekin: Darıca'daki öğretmene saldırı olayı ile ilgili soruşturma başlattık,TRT Haber,2024-05-28T16:06:00Z,news.google.com/articles/CBMigAFodHRwczovL3d3dy50cnRoYWJlci5jb20vaGFiZXIvZ3VuZGVtL2Jha2FuLXRla2luLWRhcmljYWRha2ktb2dyZXRtZW5lLXNhbGRpcmktb2xheWktaWxlLWlsZ2lsaS1zb3J1c3R1cm1hLWJhc2xhdHRpay04NjA0MzkuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
19,Okulda dehşet! Öğrencilerin gözü önünde öğretmene saldırı,Haber7.com,2024-05-28T09:42:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vbS5oYWJlcjcuY29tL3lhc2FtL2hhYmVyLzM0MjgwMTYtb2t1bGRhLWRlaHNldC1vZ3JlbmNpbGVyaW4tZ296dS1vbnVuZGUtb2dyZXRtZW5lLXNhbGRpcmnSAWlodHRwczovL20uaGFiZXI3LmNvbS9hbXBodG1sL3lhc2FtL2hhYmVyLzM0MjgwMTYtb2t1bGRhLWRlaHNldC1vZ3JlbmNpbGVyaW4tZ296dS1vbnVuZGUtb2dyZXRtZW5lLXNhbGRpcmk?hl=tr&gl=TR&ceid=TR%3Atr
20,Gezi Direnişi 11 yaşında: 'Karanlık gider, Gezi kalır...',Cumhuriyet,2024-05-28T11:31:00Z,news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3NpeWFzZXQvZ2V6aS1kaXJlbmlzaS0xMS15YXNpbmRhLWthcmFubGlrLWdpZGVyLWdlemkta2FsaXItMjIxMTQ3OdIBZGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC9zaXlhc2V0L2dlemktZGlyZW5pc2ktMTEteWFzaW5kYS1rYXJhbmxpay1naWRlci1nZXppLWthbGlyLTIyMTE0Nzk?hl=tr&gl=TR&ceid=TR%3Atr
21,Özgür Özel açıkladı... Bahçeli ve Erdoğan'a ne söyledi... Bir saat konuştu Kılıçdaroğlu'nu görmedi,Odatv,2024-05-28T10:43:00Z,news.google.com/articles/CBMiqAFodHRwczovL3d3dy5vZGF0di5jb20vc3Bvci9jaHAtZ2VuZWwtYmFza2FuaS1vemd1ci1vemVsLWJ1cmFkYW4tZ2V6aXlpLXNlbGFtbGl5b3J1bS1lcmRvZ2FuLXZlLWJhaGNlbGl5ZS1uZS1kZWRpLWJpci1zYWF0LWtvbnVzdHUta2lsaWNkYXJvZ2x1bmEteWFuaXQtdmVybWVkaS0xMjAwNDU5MTHSAawBaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9zcG9yL2NocC1nZW5lbC1iYXNrYW5pLW96Z3VyLW96ZWwtYnVyYWRhbi1nZXppeWktc2VsYW1saXlvcnVtLWVyZG9nYW4tdmUtYmFoY2VsaXllLW5lLWRlZGktYmlyLXNhYXQta29udXN0dS1raWxpY2Rhcm9nbHVuYS15YW5pdC12ZXJtZWRpLTEyMDA0NTkxMQ?hl=tr&gl=TR&ceid=TR%3Atr
22,Özgür Özel'den Gezi açıklaması: Arkadaşlarımızın içerde tutulması Anayasa'nın ihlalidir,BirGün,2024-05-28T10:43:00Z,news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvb3pndXItb3plbC1kZW4tZ2V6aS1hY2lrbGFtYXNpLWFya2FkYXNsYXJpbWl6aW4taWNlcmRlLXR1dHVsbWFzaS1hbmF5YXNhLW5pbi1paGxhbGlkaXItNTMzMzA50gEA?hl=tr&gl=TR&ceid=TR%3Atr
23,Can Atalay'da 11'inci yılında Gezi mesajı,Sözcü,2024-05-27T10:02:37Z,news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9jYW4tYXRhbGF5LWRhLTExLWluY2kteWlsaW5kYS1nZXppLW1lc2FqaS1wNTAyOTDSAU1odHRwczovL3d3dy5zb3pjdS5jb20udHIvYW1wL2Nhbi1hdGFsYXktZGEtMTEtaW5jaS15aWxpbmRhLWdlemktbWVzYWppLXA1MDI5MA?hl=tr&gl=TR&ceid=TR%3Atr
24,Erdoğan: Vatandaşın şikayetlerinin çoğaldığını görüyoruz - Sözcü,Sözcü,2024-05-28T12:55:00Z,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9lcmRvZ2FuLXZhdGFuZGFzaW4tc2lrYXlldGxlcmluaW4tY29nYWxkaWdpbmktZ29ydXlvcnV6LXA1MDU3NtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
25,"Milletle arasına duvar örenlerin gözünün yaşına bakmayız" - Son Dakika Haberleri,TRT Haber,2024-05-28T11:51:00Z,news.google.com/articles/CBMigAFodHRwczovL3d3dy50cnRoYWJlci5jb20vaGFiZXIvZ3VuZGVtL2N1bWh1cmJhc2thbmktZXJkb2dhbi1taWxsZXRsZS1hcmFzaW5hLWR1dmFyLW9yZW5sZXJpbi1nb3p1bnVuLXlhc2luYS1iYWttYXlpei04NjAzODUuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
26,Cumhurbaşkanı Erdoğan: Kamu hizmetlerinde şikayetler çoğaldı,Odatv,2024-05-28T11:45:00Z,news.google.com/articles/CBMinwFodHRwczovL3d3dy5vZGF0di5jb20vZ3VuY2VsL2N1bWh1cmJhc2thbmktZXJkb2dhbi1rYW11LWhpem1ldGxlcmluZGUtc2lrYXlldGxlci1jb2dhbGRpLWN1bWh1cmJhc2thbmktZXJkb2dhbi1zYXlpc3RheWluLTE2Mi1rdXJ1bHVzLXlpbGluZGEta29udXN0dS0xMjAwNDU5MjfSAaMBaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9ndW5jZWwvY3VtaHVyYmFza2FuaS1lcmRvZ2FuLWthbXUtaGl6bWV0bGVyaW5kZS1zaWtheWV0bGVyLWNvZ2FsZGktY3VtaHVyYmFza2FuaS1lcmRvZ2FuLXNheWlzdGF5aW4tMTYyLWt1cnVsdXMteWlsaW5kYS1rb251c3R1LTEyMDA0NTkyNw?hl=tr&gl=TR&ceid=TR%3Atr
27,Erdoğan'dan İmamoğlu'na tepki! 'Milletin cebinden özel uçakla Roma turu yaptırılamaz',Milliyet,2024-05-28T13:17:42Z,news.google.com/articles/CBMiYWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vc29uLWRha2lrYS1jdW1odXJiYXNrYW5pLWVyZG9nYW5kYW4tb25lbWxpLWFjaWtsYW1hbGFyLTcxMzM1NDLSAQA?hl=tr&gl=TR&ceid=TR%3Atr
28,Bakan Ali Yerlikaya açıkladı... 6 ilde 'Mahzen-50' operasyonu: 2 organize suç örgütü çökertildi,Cumhuriyet,2024-05-28T05:19:00Z,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvYmFrYW4tYWxpLXllcmxpa2F5YS1hY2lrbGFkaS02LWlsZGUtbWFoemVuLTUwLW9wZXJhc3lvbnUtMi0yMjExMzAx0gFsaHR0cHM6Ly93d3cuY3VtaHVyaXlldC5jb20udHIvYW1wL3R1cmtpeWUvYmFrYW4tYWxpLXllcmxpa2F5YS1hY2lrbGFkaS02LWlsZGUtbWFoemVuLTUwLW9wZXJhc3lvbnUtMi0yMjExMzAx?hl=tr&gl=TR&ceid=TR%3Atr
29,Bakan Yerlikaya açıkladı: 2 organize suç örgütü çökertildi,Milliyet,2024-05-28T05:10:00Z,news.google.com/articles/CBMib2h0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9taWxsaXlldC10di9iYWthbi15ZXJsaWtheWEtYWNpa2xhZGktMi1vcmdhbml6ZS1zdWMtb3JndXR1LWNva2VydGlsZGktdmlkZW8tNzEzMzMzMdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
30,Son dakika: 2 ayrı suç örgütü çökertildi! 39'u yakalandı,Habertürk,2024-05-28T05:01:59Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktMi1heXJpLXN1Yy1vcmd1dHUtY29rZXJ0aWxkaS0zOS11LXlha2FsYW5kaS0zNjkwMTg30gFhaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktMi1heXJpLXN1Yy1vcmd1dHUtY29rZXJ0aWxkaS0zOS11LXlha2FsYW5kaS0zNjkwMTg3LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
31,İki ayrı organize suç örgütü çökertildi: 27 tutuklama - Son Dakika Haberleri,TRT Haber,2024-05-28T04:58:00Z,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0vaWtpLWF5cmktb3JnYW5pemUtc3VjLW9yZ3V0dS1jb2tlcnRpbGRpLTI3LXR1dHVrbGFtYS04NjAyNDguaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
32,Diyaliz faciasından acı haber,Sözcü,2024-05-28T15:06:36Z,news.google.com/articles/CBMiPWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9kaXlhbGl6LWZhY2lhc2luZGFuLWFjaS1oYWJlci1wNTA2MTXSAUFodHRwczovL3d3dy5zb3pjdS5jb20udHIvYW1wL2RpeWFsaXotZmFjaWFzaW5kYW4tYWNpLWhhYmVyLXA1MDYxNQ?hl=tr&gl=TR&ceid=TR%3Atr
33,Burdur'da diyaliz tedavisi sonrası fenalaşan hastalardan biri öldü,Gazete Duvar,2024-05-28T15:33:00Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9idXJkdXJkYS1kaXlhbGl6LXRlZGF2aXNpLXNvbnJhc2ktZmVuYWxhc2FuLWhhc3RhbGFyZGFuLWJpcmktb2xkdS1oYWJlci0xNjk0Njgz0gFyaHR0cHM6Ly93d3cuZ2F6ZXRlZHV2YXIuY29tLnRyL2FtcC9idXJkdXJkYS1kaXlhbGl6LXRlZGF2aXNpLXNvbnJhc2ktZmVuYWxhc2FuLWhhc3RhbGFyZGFuLWJpcmktb2xkdS1oYWJlci0xNjk0Njgz?hl=tr&gl=TR&ceid=TR%3Atr
34,Burdur'daki diyaliz hastalarından biri hayatını kaybetti - Son Dakika Haberleri,Habertürk,2024-05-28T15:30:17Z,news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktYnVyZHVyLWRha2ktZGlhbGl6LWhhc3RhbGFyaW5kYW4tYmlyaS1oYXlhdGluaS1rYXliZXR0aS0zNjkwNDI50gFtaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktYnVyZHVyLWRha2ktZGlhbGl6LWhhc3RhbGFyaW5kYW4tYmlyaS1oYXlhdGluaS1rYXliZXR0aS0zNjkwNDI5LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
35,Diyaliz sonrası fenalaşan hastalardan 1'i kaldırıldığı hastanede hayatını kaybetti,Son Dakika,2024-05-28T15:21:16Z,news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vc2FnbGlrL2hhYmVyLWJ1cmR1ci1kZXZsZXQtaGFzdGFuZXNpLW5kZS1kaXlhbGl6LXRlZGF2aXNpbmluLTE3MzcyOTMyL9IBXWh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vYW1wL2hhYmVyLWJ1cmR1ci1kZXZsZXQtaGFzdGFuZXNpLW5kZS1kaXlhbGl6LXRlZGF2aXNpbmluLTE3MzcyOTMyLw?hl=tr&gl=TR&ceid=TR%3Atr
36,Kemal Kılıçdaroğlu: Demirtaş dışarda olsaydı terör olayları biterdi,Gazete Duvar,2024-05-28T14:01:00Z,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9rZW1hbC1raWxpY2Rhcm9nbHUtZGVtaXJ0YXMtZGlzYXJkYS1vbHNheWRpLXRlcm9yLW9sYXlsYXJpLWJpdGVyZGktaGFiZXItMTY5NDY1N9IBc2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAva2VtYWwta2lsaWNkYXJvZ2x1LWRlbWlydGFzLWRpc2FyZGEtb2xzYXlkaS10ZXJvci1vbGF5bGFyaS1iaXRlcmRpLWhhYmVyLTE2OTQ2NTc?hl=tr&gl=TR&ceid=TR%3Atr
37,Demirtaş ziyareti sonrası Kılıçdaroğlu'ndan açıklama,Sözcü,2024-05-28T14:34:50Z,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9kZW1pcnRhcy16aXlhcmV0aS1zb25yYXNpLWtpbGljZGFyb2dsdS1uZGFuLWFjaWtsYW1hLXA1MDYxMNIBWGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbXAvZGVtaXJ0YXMteml5YXJldGktc29ucmFzaS1raWxpY2Rhcm9nbHUtbmRhbi1hY2lrbGFtYS1wNTA2MTA?hl=tr&gl=TR&ceid=TR%3Atr
38,Kılıçdaroğlu: Yarın Demirtaş'ı ziyaret edeceğim,Rudaw Media Network,2024-05-26T07:00:00Z,news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LnJ1ZGF3Lm5ldC90dXJraXNoL2t1cmRpc3Rhbi8yNzA1MjAyNDXSAQA?hl=tr&gl=TR&ceid=TR%3Atr
39,Kılıçdaroğlu'ndan Selahattin Demirtaş'a ziyaret,NTV,2024-05-28T14:43:00Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3Lm50di5jb20udHIvdHVya2l5ZS9raWxpY2Rhcm9nbHVuZGFuLXNlbGFoYXR0aW4tZGVtaXJ0YXNhLXppeWFyZXQsWjJ5aUNKcG1MVXVxd25WV19XSTZnUdIBZ2h0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL3R1cmtpeWUva2lsaWNkYXJvZ2x1bmRhbi1zZWxhaGF0dGluLWRlbWlydGFzYS16aXlhcmV0LFoyeWlDSnBtTFV1cXduVldfV0k2Z1E?hl=tr&gl=TR&ceid=TR%3Atr
