ID,Headline,Source,Category,Time,URL
1,"Arda Güler, Şampiyonlar Ligi şampiyonu sayılacak mı? UEFA gerçeği...",Sözcü,Spor,2024-06-01T09:07:00Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hcmRhLWd1bGVyLXNhbXBpeW9ubGFyLWxpZ2ktc2FtcGl5b251LXNheWlsYWNhay1taS11ZWZhLWdlcmNlZ2ktcDUzNDk00gFjaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9hcmRhLWd1bGVyLXNhbXBpeW9ubGFyLWxpZ2ktc2FtcGl5b251LXNheWlsYWNhay1taS11ZWZhLWdlcmNlZ2ktcDUzNDk0?hl=tr&gl=TR&ceid=TR%3Atr
2,Arda Güler'den Fenerbahçe'nin paylaşımına cevap,NTV Spor,Spor,2024-06-01T11:01:24Z,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2Z1dGJvbC9hcmRhLWd1bGVyLWRlbi1mZW5lcmJhaGNlLW5pbi1wYXlsYXNpbWluYS1jZXZhcC02NjVhZmY4NWY1NTZiZTAwNGY1MTc2MDjSAWtodHRwczovL3d3dy5udHZzcG9yLm5ldC9hbXAvZnV0Ym9sL2FyZGEtZ3VsZXItZGVuLWZlbmVyYmFoY2UtbmluLXBheWxhc2ltaW5hLWNldmFwLTY2NWFmZjg1ZjU1NmJlMDA0ZjUxNzYwOA?hl=tr&gl=TR&ceid=TR%3Atr
3,"Borussia Dortmund - Real Madrid Şampiyonlar Ligi finali ne zaman, saat kaçta ve hangi kanalda? (Muhtemel 11'ler) - Futbol Haberleri - Spor",Fanatik,Spor,2024-06-01T11:09:12Z,news.google.com/articles/CBMimAFodHRwczovL3d3dy5mYW5hdGlrLmNvbS50ci9mdXRib2wvbGl2ZS1ib3J1c3NpYS1kb3J0bXVuZC1yZWFsLW1hZHJpZC1zYW1waXlvbmxhci1saWdpLWZpbmFsaS1uZS16YW1hbi1zYWF0LWthY3RhLXZlLWhhbmdpLWthbmFsZGEtbXVodGVtZWwtMTFsZXItMjU0OTExOdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
4,Şampiyonlar Ligi şampiyonu belli oluyor,BirGün,Spor,2024-06-01T07:02:00Z,news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvc2FtcGl5b25sYXItbGlnaS1zYW1waXlvbnUtYmVsbGktb2x1eW9yLTUzNDM2N9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
5,"Son dakika: Fenerbahçe, Jose Mourinho'yu resmen açıkladı!",Hürriyet,Spor,2024-06-01T07:09:00Z,news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9zcG9yYXJlbmEvc29uLWRha2lrYS1mZW5lcmJhaGNlLWpvc2UtbW91cmluaG95dS1yZXNtZW4tYWNpa2xhZGktNDI0NzEwMTfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
6,"SON DAKİKA | Fenerbahçe, Mourinho'yu resmen açıkladı",NTV Spor,Spor,2024-06-01T07:09:58Z,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2Z1dGJvbC9zb24tZGFraWthLWZlbmVyYmFoY2UtbW91cmluaG8teXUtcmVzbWVuLWFjaWtsYWRpLTY2NWFjOTQ3ZjU1NmJlMDA0ZjUxNzFlN9IBbWh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2FtcC9mdXRib2wvc29uLWRha2lrYS1mZW5lcmJhaGNlLW1vdXJpbmhvLXl1LXJlc21lbi1hY2lrbGFkaS02NjVhYzk0N2Y1NTZiZTAwNGY1MTcxZTc?hl=tr&gl=TR&ceid=TR%3Atr
7,Nuno Campos: Fenerbahçe'nin Mourinho tercihi mükemmel - Fenerbahçe Haberleri,Habertürk,Spor,2024-06-01T11:29:31Z,news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vZmVuZXJiYWhjZS1uaW4tbW91cmluaG8tdGVyY2loaS1tdWtlbW1lbC0zNjkxNTU2LXNwb3LSAVFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9hbXAvZmVuZXJiYWhjZS1uaW4tbW91cmluaG8tdGVyY2loaS1tdWtlbW1lbC0zNjkxNTU2LXNwb3I?hl=tr&gl=TR&ceid=TR%3Atr
8,"Fenerbahçe, Jose Mourinho'yu KAP'a bildirdi",Sözcü,Spor,2024-06-01T07:03:00Z,news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9mZW5lcmJhaGNlLWpvc2UtbW91cmluaG8teXUta2FwLWEtYmlsZGlyZGktcDUzNDY00gFOaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9mZW5lcmJhaGNlLWpvc2UtbW91cmluaG8teXUta2FwLWEtYmlsZGlyZGktcDUzNDY0?hl=tr&gl=TR&ceid=TR%3Atr
9,Enes Ünal A Milli Takım'ın EURO 2024 aday kadrosundan çıkarıldı,Fotomaç,Spor,2024-06-01T08:17:49Z,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL21pbGxpdGFraW0vMjAyNC8wNi8wMS9lbmVzLXVuYWwtYS1taWxsaS10YWtpbWluLWV1cm8tMjAyNC1hZGF5LWthZHJvc3VuZGFuLWNpa2FyaWxkadIBc2h0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL21pbGxpdGFraW0vMjAyNC8wNi8wMS9lbmVzLXVuYWwtYS1taWxsaS10YWtpbWluLWV1cm8tMjAyNC1hZGF5LWthZHJvc3VuZGFuLWNpa2FyaWxkaS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
10,SON DAKİKA | A Milli Takım'da şok sakatlık: EURO 2024 kadrosundan çıkarıldı,NTV Spor,Spor,2024-06-01T08:15:23Z,news.google.com/articles/CBMigAFodHRwczovL3d3dy5udHZzcG9yLm5ldC9mdXRib2wvc29uLWRha2lrYS1hLW1pbGxpLXRha2ltLWRhLXNvay1zYWthdGxpay1ldXJvLTIwMjQta2Fkcm9zdW5kYW4tY2lrYXJpbGRpLTY2NWFkODliZjU1NmJlMDA0ZjUxNzQwONIBhAFodHRwczovL3d3dy5udHZzcG9yLm5ldC9hbXAvZnV0Ym9sL3Nvbi1kYWtpa2EtYS1taWxsaS10YWtpbS1kYS1zb2stc2FrYXRsaWstZXVyby0yMDI0LWthZHJvc3VuZGFuLWNpa2FyaWxkaS02NjVhZDg5YmY1NTZiZTAwNGY1MTc0MDg?hl=tr&gl=TR&ceid=TR%3Atr
